BPM,Temp,SR
74,35.6875,21
76,35.6875,21
76,35.6875,20
73,35.6875,20
75,35.6875,23
78,35.6875,27
81,35.75,28
60,35.75,33
63,35.6875,41
77,35.6875,37
77,35.75,34
83,35.6875,41
80,35.6875,36
80,35.75,24
79,35.6875,28
75,35.6875,29
75,35.75,31
76,35.6875,31
78,35.6875,31
83,35.6875,31
83,35.6875,33
80,35.6875,31
79,35.75,31
79,35.6875,31
82,35.6875,31
81,35.75,31
80,35.75,32
80,35.6875,31
80,35.6875,30
82,35.6875,27
82,35.6875,30
70,35.75,29
68,35.6875,31
68,35.75,27
83,35.6875,28
72,35.75,30
67,35.6875,31
64,35.6875,28
70,35.6875,33
70,35.6875,28
67,35.75,26
61,35.75,30
60,35.75,30
82,35.75,29
82,35.75,28
82,35.75,28
83,35.6875,80
72,35.6875,27
72,35.75,31
71,35.6875,30
82,35.6875,32
82,35.6875,31
82,35.75,30
81,35.75,29
81,35.6875,28
82,35.75,28
82,35.6875,80
81,35.6875,27
81,35.75,28
66,35.6875,28
64,35.6875,28
58,35.6875,30
59,35.75,31
79,35.75,30
76,35.75,26
78,35.6875,25
75,35.75,26
73,35.6875,25
75,35.6875,26
74,35.75,26
82,35.75,25
83,35.75,25
80,35.6875,24
77,35.6875,27
75,35.6875,31
78,35.6875,34
80,35.6875,35
77,35.75,37
74,35.6875,36
75,35.6875,29
74,35.75,36
71,35.75,36
72,35.6875,31
75,35.6875,28
80,35.6875,27
80,35.6875,26
75,35.75,28
62,35.6875,28
57,35.6875,29
57,35.75,28
80,35.75,28
75,35.75,30
75,35.75,29
78,35.75,32
83,35.75,33
83,35.75,31
80,35.75,29
78,35.75,30
80,35.75,30
81,35.75,29
83,35.75,30
83,35.75,32
81,35.75,33
80,35.75,32
78,35.75,32
79,35.75,31
73,35.75,31
72,35.75,30
71,35.75,30
70,35.8125,29
77,35.75,29
75,35.8125,29
78,35.8125,29
74,35.8125,28
73,35.75,28
72,35.8125,27
69,35.8125,28
69,35.75,28
68,35.8125,30
69,35.8125,30
69,35.8125,31
70,35.75,31
70,35.8125,32
73,35.75,31
81,35.75,30
75,35.8125,30
69,35.8125,29
74,35.8125,32
81,35.8125,34
81,35.75,31
78,35.75,29
75,35.8125,29
76,35.75,31
78,35.75,31
82,35.75,31
81,35.75,31
80,35.75,32
80,35.8125,38
82,35.8125,34
81,35.8125,32
81,35.8125,32
81,35.8125,31
83,35.75,30
81,35.75,30
80,35.8125,30
81,35.8125,30
83,35.8125,30
82,35.8125,29
81,35.75,29
81,35.75,28
82,35.75,28
82,35.75,80
80,35.8125,27
80,35.8125,27
80,35.8125,27
80,35.8125,80
82,35.75,29
81,35.8125,28
81,35.75,31
81,35.8125,31
75,35.8125,31
76,35.8125,31
83,35.8125,31
81,35.8125,31
81,35.8125,30
82,35.8125,30
81,35.8125,29
81,35.8125,27
80,35.8125,28
81,35.8125,28
81,35.8125,27
82,35.8125,28
82,35.8125,31
81,35.8125,30
78,35.8125,29
79,35.8125,29
79,35.875,34
83,35.8125,37
82,35.8125,35
79,35.8125,34
76,35.8125,35
75,35.875,36
77,35.8125,37
74,35.875,35
74,35.8125,35
69,35.8125,34
57,35.8125,37
59,35.8125,36
60,35.8125,34
74,35.8125,39
77,35.8125,37
80,35.8125,35
82,35.875,35
80,35.8125,34
80,35.8125,34
77,35.8125,34
72,35.875,38
69,35.8125,38
71,35.875,34
74,35.875,42
71,35.875,41
61,35.8125,42
62,35.875,40
64,35.875,36
78,35.8125,36
79,35.8125,41
80,35.8125,41
78,35.875,40
81,35.8125,40
80,35.875,37
78,35.8125,37
80,35.8125,36
79,35.8125,35
80,35.875,38
79,35.875,37
81,35.875,37
81,35.875,37
81,35.875,37
79,35.875,36
79,35.8125,32
82,35.8125,34
82,35.875,33
81,35.875,36
81,35.875,32
80,35.875,34
75,35.875,35
75,35.875,34
76,35.875,41
76,35.875,41
75,35.875,41
75,35.875,45
69,35.875,36
70,35.875,41
75,35.875,42
78,35.875,38
